,FPTS,Position,Price,Value
Cam Sims,33.8,wr,0.6,1.8777777777777775
Rashard Higgins,33.5,wr,0.59,1.8611111111111112
Malik Turner,32.9,wr,0.58,1.8277777777777777
Isaiah McKenzie,32.5,wr,0.57,1.8055555555555556
Brandon Zylstra,31.0,wr,0.55,1.7222222222222223
John Ross,30.0,wr,0.53,1.6666666666666667
Jakeem Grant Sr.,28.5,wr,0.5,1.5833333333333333
Isaiah Ford,28.1,wr,0.49,1.5611111111111111
Greg Ward,27.6,wr,0.48,1.5333333333333334
DJ Chark Jr.,27.4,wr,0.48,1.5222222222222221
Ray-Ray McCloud III,27.2,wr,0.48,1.511111111111111
Ihmir Smith-Marsette,23.6,wr,0.41,1.3111111111111111
Kendall Hinton,23.5,wr,0.41,1.3055555555555556
Anthony Schwartz,23.4,wr,0.41,1.2999999999999998
Tajae Sharpe,23.0,wr,0.4,1.2777777777777777
Breshad Perriman,22.4,wr,0.39,1.2444444444444445
Parris Campbell,22.2,wr,0.39,1.2333333333333334
James Proche II,20.2,wr,0.35,1.1222222222222222
JuJu Smith-Schuster,19.8,wr,0.34,1.1
Noah Brown,18.4,wr,0.32,1.0222222222222221
Dee Eskridge,18.3,wr,0.32,1.0166666666666666
KhaDarel Hodge,17.7,wr,0.3,0.9833333333333333
N'Keal Harry,16.4,wr,0.28,0.911111111111111
Kristian Wilkerson,16.2,wr,0.28,0.8999999999999999
Dyami Brown,16.1,wr,0.28,0.8944444444444445
Marcus Johnson,15.8,wr,0.27,0.8777777777777778
Dante Pettis,15.3,wr,0.26,0.8500000000000001
Trent Sherfield,14.7,wr,0.25,0.8166666666666667
Scott Miller,14.1,wr,0.24,0.7833333333333333
Denzel Mims,13.3,wr,0.22,0.7388888888888889
Kenny Stills,12.9,wr,0.22,0.7166666666666667
Tom Kennedy,12.4,wr,0.21,0.6888888888888889
Equanimeous St. Brown,11.2,wr,0.19,0.6222222222222222
Phillip Dorsett II,11.0,wr,0.18,0.6111111111111112
Dez Fitzpatrick,10.9,wr,0.18,0.6055555555555556
Collin Johnson,10.5,wr,0.17,0.5833333333333334
Trinity Benson,10.3,wr,0.17,0.5722222222222223
Shi Smith,10.1,wr,0.17,0.5611111111111111
Auden Tate,9.9,wr,0.16,0.55
Josh Gordon,9.2,wr,0.15,0.5111111111111111
Cameron Batson,9.0,wr,0.15,0.5
Anthony Miller,8.5,wr,0.14,0.4722222222222222
Dezmon Patmon,8.1,wr,0.13,0.44999999999999996
Preston Williams,7.8,wr,0.13,0.43333333333333335
KJ Hamler,7.4,wr,0.12,0.41111111111111115
Dede Westbrook,6.8,wr,0.11,0.37777777777777777
Dax Milne,6.4,wr,0.1,0.35555555555555557
Brandon Powell,6.0,wr,0.09,0.3333333333333333
Penny Hart,5.9,wr,0.09,0.3277777777777778
C.J. Board,5.7,wr,0.09,0.31666666666666665
Amari Rodgers,5.6,wr,0.09,0.3111111111111111
Alex Erickson,5.5,wr,0.08,0.3055555555555556
Jaelon Darden,5.4,wr,0.08,0.30000000000000004
Mike Thomas,5.2,wr,0.08,0.2888888888888889
William Fuller V,4.6,wr,0.07,0.25555555555555554
Trent Taylor,4.1,wr,0.06,0.22777777777777775
Gunner Olszewski,4.0,wr,0.06,0.2222222222222222
Greg Dortch,3.9,wr,0.05,0.21666666666666667
Juwann Winfree,3.8,wr,0.05,0.2111111111111111
Pharoh Cooper,3.6,wr,0.05,0.2
Seth Williams,3.4,wr,0.05,0.18888888888888888
Cody White,3.3,wr,0.04,0.18333333333333332
KJ Hill Jr.,3.0,wr,0.04,0.16666666666666666
Jake Kumerow,2.8,wr,0.03,0.15555555555555556
Mike Strachan,2.6,wr,0.03,0.14444444444444446
Christian Blake,2.5,wr,0.03,0.1388888888888889
Marcus Kemp,2.4,wr,0.03,0.13333333333333333
Tylan Wallace,2.3,wr,0.03,0.12777777777777777
Keith Kirkwood,1.7,wr,0.01,0.09444444444444444
Tyron Billy-Johnson,1.6,wr,0.01,0.08888888888888889
Frank Darby,1.4,wr,0.01,0.07777777777777778
Kirk Merritt,1.3,wr,0.01,0.07222222222222223
C.J. Saunders,1.1,wr,0.0,0.061111111111111116
Jaydon Mickens,1.0,wr,0.0,0.05555555555555555
Tommylee Lewis,0.7,wr,0.0,0.03888888888888889
Miles Boykin,0.6,wr,0.0,0.03333333333333333
Easop Winston Jr.,0.5,wr,0.0,0.027777777777777776
Maurice Ffrench,0.3,wr,0.0,0.016666666666666666
Nsimba Webster,0.0,wr,0.0,0.0
Alex Bachman,-0.3,wr,0.0,-0.016666666666666666
