"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"245","John Brown (FA)","0","3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"246","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"247","David Moore (TB)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"248","Ryan Switzer (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"249","Rodney Adams (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"250","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"251","JoJo Natson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"252","Vyncint Smith (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"253","Jordan Veasy (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"254","Damion Ratley (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"255","Daurice Fountain (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"256","River Cracraft (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"257","Ty Montgomery II (NE)","16","26","95","5.9","21","1","0","15","44","0","0","14","0.0","0.0","0.2%"
"258","Devin Smith (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"259","Allen Hurns (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"260","Geronimo Allison (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"261","Alex Bachman (HOU)","0","0","0","0","0","0","0","1","-3","0","0","2","-0.3","-0.2","0.0%"
"262","Malik Taylor (NYJ)","2","3","14","7.0","7","0","0","0","0","0","1","7","-0.6","-0.1","0.0%"
"263","Racey McMath (FA)","2","6","8","4.0","9","0","0","0","0","0","1","6","-1.2","-0.2","0.0%"
"264","Travis Benjamin (FA)","0","5","0","0","0","0","0","0","0","0","1","5","-2.0","-0.4","0.0%"
"265","J.J. Koski (FA)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","0.0%"
"266","Diontae Spencer (FA)","1","4","-3","-3.0","0","0","0","0","0","0","2","15","-4.3","-0.3","0.0%"
""
""
